Power_perf_factor,Fuel_efficiency,Fuel_capacity,Engine_size,Horsepower,Wheelbase,Width,Length,Price_in_lakhs
156.6471,21.8,19,2.53,200,94.08,71.17,168.15,17.73
95.54393,23.5,23,3.02,265,102.77,79.34,196.93,4.69
30.94899,19.5,15,5.46,177,83.29,68.25,233.17,21.77
141.70133,18.2,25,1.52,218,97.74,86.04,212.64,23.29
30.0424,21.7,15,1.54,167,98.21,63.99,262.81,18.21
62.40337,29.7,19,2.93,264,89.63,78.51,265.29,13.65
62.43119,29.9,15,2.13,278,84.4,68.8,272.28,25.62
125.30896,26.7,23,3.76,165,105.09,60.06,214.33,19.69
98.51451,26.0,19,1.51,279,94.08,61.44,284.69,29.96
43.69378,28.9,17,1.15,249,98.04,69.38,220.81,17.31
83.26873,16.3,25,5.91,246,84.37,76.73,269.31,7.20
129.39807,15.3,27,5.75,193,81.95,74.62,174.83,22.03
163.09901,28.9,22,5.1,239,104.96,61.92,247.62,13.20
178.4369,22.0,25,3.77,274,105.53,87.75,257.09,14.18
131.07009,21.2,28,1.11,270,90.46,74.89,207.79,23.07
61.97641,21.6,22,3.87,280,86.9,85.23,218.51,11.93
93.72228,27.0,28,5.58,167,109.96,79.24,215.89,29.29
100.05079,27.6,15,3.14,232,82.54,72.26,279.8,23.12
142.22058,22.1,18,5.65,216,89.47,74.62,242.69,20.22
184.23182,29.6,18,4.21,210,86.69,69.49,258.61,19.90
173.65672,20.6,21,1.52,155,85.5,76.48,203.58,10.51
183.91145,29.7,19,5.81,165,96.05,79.79,299.2,10.66
61.19085,24.5,27,4.62,265,98.83,70.99,227.3,7.14
88.33939,18.0,26,5.47,168,99.85,67.76,261.9,11.25
65.61036,17.2,15,5.87,190,96.15,66.95,224.64,21.78
110.2382,17.7,19,4.93,203,89.78,67.64,214.54,21.47
86.28132,15.4,27,1.54,162,100.02,78.21,215.36,20.40
31.53759,28.5,22,3.67,160,106.75,83.01,228.49,9.13
174.36253,24.0,19,1.25,254,93.47,68.75,173.48,7.31
34.2815,29.4,19,5.41,181,108.26,70.36,206.04,28.88
88.9057,20.4,19,5.34,248,89.96,72.66,226.01,17.24
117.25563,17.4,20,2.1,265,99.01,72.57,271.87,12.10
109.53886,21.1,26,3.96,272,82.52,60.47,224.38,12.37
91.80645,25.7,15,3.56,166,83.85,68.06,269.9,17.67
62.06699,27.9,19,1.09,160,84.64,81.78,250.78,29.77
44.47323,25.3,25,1.34,219,105.84,81.52,239.42,4.09
91.19446,17.9,16,1.16,167,96.61,75.95,223.41,7.05
171.6903,23.0,15,1.82,258,87.66,66.79,243.49,28.31
107.67148,26.7,20,1.39,215,106.36,68.02,187.27,28.30
73.51773,30.0,19,3.76,151,100.59,74.8,160.2,25.08
145.81286,26.9,23,4.2,177,105.85,88.7,260.79,4.64
57.1178,27.9,24,5.34,163,93.37,71.32,294.61,16.83
94.55054,29.6,28,5.98,220,99.46,85.7,272.45,3.21
37.11495,21.1,28,4.74,206,99.13,85.77,282.46,3.42
47.69776,24.7,23,1.76,277,83.42,72.4,289.89,24.30
112.376,26.5,23,3.28,264,92.71,73.44,176.41,19.61
172.57812,27.0,16,3.2,247,100.23,83.06,180.74,17.14
33.76307,22.9,25,3.69,220,103.22,75.8,291.43,15.21
78.1595,18.2,17,4.75,193,99.65,82.83,278.89,29.76
138.27117,19.4,16,5.29,152,91.24,83.47,229.73,9.38
53.05838,21.4,28,1.33,280,99.34,80.23,282.18,12.56
146.38451,19.5,23,4.5,241,86.64,82.74,233.95,24.92
149.90268,22.2,17,2.74,275,84.77,73.51,221.54,5.78
173.78612,29.8,18,3.25,174,103.5,64.67,266.04,7.64
93.75825,15.9,19,5.6,181,83.78,75.65,209.36,16.92
159.20495,25.1,22,2.73,182,92.63,70.05,280.22,22.72
100.57087,21.6,20,2.91,240,101.59,65.51,276.78,13.12
47.9947,25.7,18,5.03,211,92.73,79.39,203.59,11.35
170.98625,24.0,18,1.83,153,94.22,88.4,180.79,10.59
169.70022,18.0,28,4.41,197,105.17,64.65,257.53,17.16
160.3943,16.5,16,2.41,168,103.82,71.32,278.15,29.43
138.64861,18.2,24,1.89,241,95.06,87.71,292.82,12.25
163.40142,15.1,16,5.52,170,87.0,63.55,279.86,5.03
139.04484,21.7,22,3.77,163,80.73,74.71,241.79,13.58
152.22656,19.2,26,4.48,241,106.17,61.86,297.25,15.30
39.3913,21.6,20,2.6,243,102.53,66.03,295.81,7.51
113.22724,27.2,24,5.2,248,94.03,86.05,163.48,25.04
106.14874,20.5,25,4.83,265,99.02,85.82,203.5,6.53
94.32616,23.5,20,5.69,204,87.36,68.65,199.05,4.56
165.215,24.4,21,2.59,174,105.86,75.46,220.75,28.04
56.75193,16.1,15,3.3,166,106.27,75.23,255.49,26.34
74.61902,21.7,23,5.18,164,84.59,79.49,195.73,14.34
156.47471,17.8,15,1.89,224,81.3,78.46,245.13,14.55
88.51493,26.2,20,2.71,160,82.12,73.63,181.09,21.42
113.46647,26.9,27,2.37,242,88.32,61.44,220.79,20.19
99.63538,17.8,15,1.92,153,94.78,65.17,201.21,10.37
48.21365,18.0,15,2.96,186,105.13,76.54,218.25,8.26
100.259,29.7,23,2.94,150,92.38,72.88,242.69,5.11
